Club,League,Country,Website,Press Email,Media Email,General Email,All Emails,Status,Notes,Scraped At
"Tottenham Hotspur","Premier League","England","https://www.tottenhamhotspur.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:40:08.155Z"
"West Ham United","Premier League","England","https://www.whufc.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:40:45.035Z"
"Wolverhampton","Premier League","England","https://www.wolves.co.uk","","","","","failed","No emails found on standard contact pages","2025-10-01T08:41:16.425Z"
"FC Bayern Munich","Bundesliga","Germany","https://fcbayern.com/en","","","","berni@fcb.de","partial","","2025-10-01T08:41:47.747Z"
"Borussia Dortmund","Bundesliga","Germany","https://www.bvb.com/eng","","","","admin@telepathy.com","partial","","2025-10-01T08:41:47.936Z"
"RB Leipzig","Bundesliga","Germany","https://www.dierotenbullen.com/en","","","","u003eprivacy-rbleipzig@redbull.com; u003erb2b.businessclub@redbulls.com","partial","","2025-10-01T08:41:51.049Z"
"Bayer Leverkusen","Bundesliga","Germany","https://www.bayer04.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:41:51.422Z"
"Union Berlin","Bundesliga","Germany","https://www.fc-union-berlin.de/en","","","","verein@fc-union-berlin.de","partial","","2025-10-01T08:42:23.393Z"
"SC Freiburg","Bundesliga","Germany","https://www.scfreiburg.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:42:23.706Z"
"Eintracht Frankfurt","Bundesliga","Germany","https://www.eintracht.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:42:58.343Z"
"VfL Wolfsburg","Bundesliga","Germany","https://www.vfl-wolfsburg.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:43:30.273Z"
"Borussia Mönchengladbach","Bundesliga","Germany","https://www.borussia.de/english","","","","","failed","No emails found on standard contact pages","2025-10-01T08:44:00.673Z"
"FSV Mainz 05","Bundesliga","Germany","https://www.mainz05.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:44:29.433Z"
"VfB Stuttgart","Bundesliga","Germany","https://www.vfb.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:44:59.152Z"
"Werder Bremen","Bundesliga","Germany","https://www.werder.de/en","","","info@werder.de","mitgliederevents@werder.de; mitgliederverwaltung@werder.de; Kids-Club@werder.de; kids@werder.de; kids-club@werder.de; info@werder.de; tickets@werder.de; fanshop@werder.de; werder-stiftung@werder.de; info@digitas.de; info@team-neusta.de; datenschutzbeauftragter@werder.de; personal@werder-fanwelt.de; personal@werder.de","partial","","2025-10-01T08:45:31.422Z"
"TSG Hoffenheim","Bundesliga","Germany","https://www.achtzehn99.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:45:31.712Z"
"FC Augsburg","Bundesliga","Germany","https://www.fcaugsburg.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:46:00.291Z"
"VfL Bochum","Bundesliga","Germany","https://www.vfl-bochum.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:46:29.803Z"
"FC St. Pauli","Bundesliga","Germany","https://www.fcstpauli.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:46:59.268Z"
"Holstein Kiel","Bundesliga","Germany","https://www.holstein-kiel.de/en","","","info@holstein-kiel.de","info@holstein-kiel.de","partial","","2025-10-01T08:47:45.449Z"
"1. FC Heidenheim","Bundesliga","Germany","https://www.fc-heidenheim.de/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:47:58.551Z"
"Real Madrid","La Liga","Spain","https://www.realmadrid.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:48:28.245Z"
"FC Barcelona","La Liga","Spain","https://www.fcbarcelona.com/en","","","","penyes@fcbarcelona.cat; CITAPREVIAOAB@fcbarcelona.onmicrosoft.com; barcaescola@fcbarcelona.cat; events@fcbarcelona.cat; vip@fcbarcelona.cat; fundacio@fcbarcelona.cat","partial","","2025-10-01T08:48:57.525Z"
"Atlético Madrid","La Liga","Spain","https://en.atleticodemadrid.com","","","","","failed","No emails found on standard contact pages","2025-10-01T08:48:58.305Z"
"Sevilla FC","La Liga","Spain","https://www.sevillafc.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:49:28.552Z"
"Real Sociedad","La Liga","Spain","https://www.realsociedad.eus/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:50:00.518Z"
"Real Betis","La Liga","Spain","https://www.realbetisbalompie.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:50:31.219Z"
"Villarreal CF","La Liga","Spain","https://www.villarrealcf.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:51:00.335Z"
"Athletic Bilbao","La Liga","Spain","https://www.athletic-club.eus/en","","","info@fundacionathleticclub.eus","contacto@athletic-club.eus; museoa@athletic-club.eus; info@fundacionathleticclub.eus; lezama@athletic-club.eus; smva@athletic-club.eus; prentsa@athletic-club.eus; veteranos@athletic-club.eus","partial","","2025-10-01T08:52:02.538Z"
"Valencia CF","La Liga","Spain","https://www.valenciacf.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:52:03.141Z"
"CA Osasuna","La Liga","Spain","https://www.osasuna.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:52:33.567Z"
"Celta Vigo","La Liga","Spain","https://www.celtavigo.net/en","","","","","failed","No emails found on standard contact pages","2025-10-01T08:53:04.049Z"
"Rayo Vallecano","La Liga","Spain","https://www.rayovallecano.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:11:02.548Z"
"RCD Mallorca","La Liga","Spain","https://www.rcdmallorca.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:11:40.912Z"
"Getafe CF","La Liga","Spain","https://www.getafecf.com/en","","","","gestiabonados@getafecf.com; contabilidad@getafecf.com; seguridad@getafecf.com; admon@getafecf.com; comunicacion@getafecf.com; carlosfg@getafecf.com; acreditaciones@getafecf.com; nerea.alonso@getafecf.com; dtorres@getafecf.com; dmartinez@getafecf.com; marketing@getafecf.com; tienda@getafecf.com; stecnico@getafecf.com; manuel.alcazar@getafecf.com; cinferiores@getafecf.com; escuelafutbol@getafecf.com; u003egestiabonados@getafecf.com; u003econtabilidad@getafecf.com; u003eseguridad@getafecf.com; u003eadmon@getafecf.com; u003ecomunicacion@getafecf.com; u003ecarlosfg@getafecf.com; u003eacreditaciones@getafecf.com; u003enerea.alonso@getafecf.com; u003edtorres@getafecf.com; u003edmartinez@getafecf.com; u003emarketing@getafecf.com; u003etienda@getafecf.com; u003estecnico@getafecf.com; u003emanuel.alcazar@getafecf.com; u003ecinferiores@getafecf.com; u003eescuelafutbol@getafecf.com","partial","","2025-10-01T09:12:15.239Z"
"Deportivo Alavés","La Liga","Spain","https://www.deportivoalaves.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:12:16.046Z"
"RCD Espanyol","La Liga","Spain","https://www.rcdespanyol.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:12:47.886Z"
"CD Leganés","La Liga","Spain","https://www.cdleganes.com/en","prensa@cdleganes.com","","","atencionalabonado@cdleganes.com; finanzas@cdleganes.com; seguridad@cdleganes.com; recursoshumanos@cdleganes.com; n@cdleganes.com; prensa@cdleganes.com; acreditaciones@cdleganes.com; protocolo@cdleganes.com; digital@cdleganes.com; audiovisual@cdleganes.com; marketing@cdleganes.com; tienda@cdleganes.com; patrocinio@cdleganes.com; butarquepremium@cdleganes.com; eventos@cdleganes.com; secretariatecnica@cdleganes.com; j.broto@cdleganes.com; cantera11@cdleganes.com; escuela@cdleganes.com; cantera@cdleganes.com; cantera7@cdleganes.com; futbolfemenino@cdleganes.com; lopd@cdleganes.com","success","","2025-10-01T09:13:18.000Z"
"Girona FC","La Liga","Spain","https://www.gironafc.cat/en","","","info@gironafc.cat","info@gironafc.cat; u003einfo@gironafc.cat","partial","","2025-10-01T09:13:37.550Z"
"Las Palmas","La Liga","Spain","https://www.udlaspalmas.es/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:14:01.173Z"
"Real Valladolid","La Liga","Spain","https://www.realvalladolid.es/en","","","","abonados@realvalladolid.es","partial","","2025-10-01T09:14:37.554Z"
"Juventus","Serie A","Italy","https://www.juventus.com/en","","","","20beatrix.zhan@juventus.com; beatrix.zhan@juventus.com","partial","","2025-10-01T09:14:38.025Z"
"AC Milan","Serie A","Italy","https://www.acmilan.com/en","","","sponsorshipenquiries@acmilan.com","sponsorshipenquiries@acmilan.com; licensingenquiries@acmilan.com; eventi@acmilan.com; info.china@acmilan.com","partial","","2025-10-01T09:14:41.384Z"
"Inter Milan","Serie A","Italy","https://www.inter.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:14:50.329Z"
"AS Roma","Serie A","Italy","https://www.asroma.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:15:23.359Z"
"SSC Napoli","Serie A","Italy","https://www.sscnapoli.it/en","","","","Napolisponsorelicenze@sscn.it; sscngarebiglietteria@pec.it","partial","","2025-10-01T09:15:53.862Z"
"SS Lazio","Serie A","Italy","https://www.sslazio.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:15:54.976Z"
"Atalanta","Serie A","Italy","https://www.atalanta.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:16:25.151Z"
"Fiorentina","Serie A","Italy","https://en.violachannel.tv","","","","","failed","No emails found on standard contact pages","2025-10-01T09:16:57.088Z"
"Torino FC","Serie A","Italy","https://www.torinofc.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:17:26.133Z"
"Bologna FC","Serie A","Italy","https://www.bolognafc.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:18:03.777Z"
"Udinese Calcio","Serie A","Italy","https://www.udinese.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:18:44.743Z"
"Hellas Verona","Serie A","Italy","https://www.hellasverona.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:19:20.840Z"
"Genoa CFC","Serie A","Italy","https://www.genoacfc.it/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:19:50.456Z"
"Cagliari Calcio","Serie A","Italy","https://www.cagliaricalcio.com/en","","","info@cagliaricalcio.com","info@cagliaricalcio.com","partial","","2025-10-01T09:20:39.383Z"
"Empoli FC","Serie A","Italy","https://www.empolifc.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:20:40.587Z"
"US Lecce","Serie A","Italy","https://www.uslecce.it/en","","","","rdp@uslecce.it; slo@uslecce.it; lecce@legaseriea.it; marketing@uslecce.it; commerciale@uslecce.it; uslecceprogram@uslecce.it","partial","","2025-10-01T09:21:13.595Z"
"Parma Calcio","Serie A","Italy","https://www.parmacalcio1913.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:21:27.664Z"
"Como 1907","Serie A","Italy","https://www.como1907.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:22:19.416Z"
"Venezia FC","Serie A","Italy","https://www.veneziafc.it/en","","","ninfo@veneziafc.it","ninfo@veneziafc.it","partial","","2025-10-01T09:22:47.555Z"
"Monza","Serie A","Italy","https://www.acmonza.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:22:47.787Z"
"Paris Saint-Germain","Ligue 1","France","https://en.psg.fr","","","","","failed","No emails found on standard contact pages","2025-10-01T09:23:29.884Z"
"Olympique Marseille","Ligue 1","France","https://www.om.fr/en","","","","4853----billetterie@olympiquedemarseille.freshdesk.com; 4854----billetterie@olympiquedemarseille.freshdesk.com; 5480----billetterie@olympiquedemarseille.freshdesk.com; 5483----billetterie@olympiquedemarseille.freshdesk.com; 4864----business@olympiquedemarseille.freshdesk.com; 4865----omfrassistance@olympiquedemarseille.freshdesk.com; 4917----omfrassistance@olympiquedemarseille.freshdesk.com; 5396----business@olympiquedemarseille.freshdesk.com; 5582----business@olympiquedemarseille.freshdesk.com; 4856----omprime@olympiquedemarseille.freshdesk.com; 5486----omprime@olympiquedemarseille.freshdesk.com; 27945----peuplebleuetblanc@olympiquedemarseille.freshdesk.com; 5522----omtour@olympiquedemarseille.freshdesk.com; 5525----omtour@olympiquedemarseille.freshdesk.com; 4858----omfrassistance@olympiquedemarseille.freshdesk.com; 4916----stade@olympiquedemarseille.freshdesk.com; 5489----stade@olympiquedemarseille.freshdesk.com; 5492----stade@olympiquedemarseille.freshdesk.com; 5510----stade@olympiquedemarseille.freshdesk.com; 4850----boutique@olympiquedemarseille.freshdesk.com; 5495----boutique@olympiquedemarseille.freshdesk.com; 5498----boutique@olympiquedemarseille.freshdesk.com; 4863----autre-demande@olympiquedemarseille.freshdesk.com; 4925----autre-demande@olympiquedemarseille.freshdesk.com; 5921----autre-demande@olympiquedemarseille.freshdesk.com; 27974----autre-demande@olympiquedemarseille.freshdesk.com","partial","","2025-10-01T09:24:11.725Z"
"Olympique Lyon","Ligue 1","France","https://www.ol.fr/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:24:12.048Z"
"AS Monaco","Ligue 1","France","https://www.asmonaco.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:24:42.215Z"
"LOSC Lille","Ligue 1","France","https://www.losc.fr/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:25:14.074Z"
"OGC Nice","Ligue 1","France","https://www.ogcnice.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:25:46.732Z"
"Stade Rennais","Ligue 1","France","https://www.staderennais.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:26:15.545Z"
"RC Lens","Ligue 1","France","https://www.rclens.fr/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:26:50.000Z"
"RC Strasbourg","Ligue 1","France","https://www.rcstrasbourgalsace.fr/en","","","","jean.dupont@gmail.com; boutique@rcstrasbourg.eu","partial","","2025-10-01T09:27:28.826Z"
"Stade Brestois","Ligue 1","France","https://www.sb29.bzh/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:27:29.161Z"
"Montpellier HSC","Ligue 1","France","https://www.mhscfoot.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:28:00.427Z"
"FC Nantes","Ligue 1","France","https://www.fcnantes.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:28:53.167Z"
"Stade de Reims","Ligue 1","France","https://www.stade-de-reims.com/en","","","contact@stade-de-reims.fr","contact@stade-de-reims.fr","partial","","2025-10-01T09:29:21.893Z"
"Toulouse FC","Ligue 1","France","https://www.tfc.info/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:29:29.702Z"
"AJ Auxerre","Ligue 1","France","https://www.aja.fr/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:29:57.800Z"
"Angers SCO","Ligue 1","France","https://www.angers-sco.fr/en","","","","secretariat@angers-sco.fr; commercial@angers-sco.fr; info-billetterie@angers-sco.fr; evenements.seminaires@angers-sco.fr; footsal@angers-sco.fr; communication@angers-sco.fr; fondsdedotation@angers-sco.fr","partial","","2025-10-01T09:31:25.105Z"
"Le Havre AC","Ligue 1","France","https://www.hac-foot.com/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:31:28.172Z"
"AS Saint-Étienne","Ligue 1","France","https://www.asse.fr/en","","","","","failed","No emails found on standard contact pages","2025-10-01T09:31:58.254Z"
